Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0x2ef2e49695f00fa835fb851c0575822f5f076a13,7915785761450277287136036,7915785761450277287136036,0,0,0,0
0x9d94ef33e7f8087117f85b3ff7b1d8f27e4053d5,4967440035500163493933763,4967440035500163493933763,0,0,0,0
0x445cc6c3d51eb0a63395a613a0960c7922bca0d6,2261774599509454379078923,2261774599509454379078923,0,0,0,0
0xa4a6a282a7fc7f939e01d62d884355d79f5046c1,1586980637760899775821886,1586980637760899775821886,0,0,0,0
0x1d65d296b6ad7fdbf77d3c9cc44c9b2787f1a341,1579092972074587426224192,1579092972074587426224192,0,0,0,0
0x5e78c09984bd6608f8e913f0924062c043ed6ad7,1503353166756385464693655,1503353166756385464693655,0,0,0,0
0x62da87ff2e2216f1858603a3db9313e178da3112,1213897599330054827429379,1213897599330054827429379,0,0,0,0
0xfe13988736d95d052c2e45e5b4e1ef2e2750b7f4,1179634306512141043017275,1151127860493237723702778,27649769585253456221198,0,0,0
0x7f30a53f290fc551a089bd83107906be649a92bd,1104060803017664430620585,1104060803017664430620585,0,0,0,0
0xae5fb390e5c4fa1962e39e98dbfb0ed8055ed7a9,1103788031068885583800978,1103788031068885583800978,0,0,0,0
0x009023da14a3c9f448b75f33ceb9291c21373bd8,915174978158169937299763,915075171118446735489929,0,0,0,0
0x2d481a1b74c689481ceb8cebd909962e4d6f5cdd,852642529616583469342124,852642529616583469342124,0,0,0,0
0xb16fb56ef6e57af533f26e577846ee045d0ec269,789526893873206391823986,789526893873206391823986,0,0,0,0
0xd142c9cfe2f0bef4c14594358fb65aee1b726d2c,705600383928110152503707,677093937909206833189210,27649769585253456221198,0,0,0
0xe979438b331b28d3246f8444b74cab0f874b40e8,617789003917906537474433,617789003917906537474433,0,0,0,0
0xafc2f2d803479a2af3a72022d54cc0901a0ec0d6,609293694539830836698438,609293694539830836698438,0,0,0,0
0x9f7dfab2222a473284205cddf08a677726d786a0,525105384336744829364063,525105384336744829364063,0,0,0,0
0xc2a39291acf6ae4ed29c6fcc15f1d54141f8d833,425989402968990009828387,425989402968990009828387,0,0,0,0
0x98dd467fbc8b32f08387f8888b161d5cd8c00889,425503237572603493274906,425503237572603493274906,0,0,0,0
0xf64c2e6679e089cd1c3e303ca1245d4941747700,387359764162757294907514,383732315746423297527246,2304147465437788018433,0,0,0
0x95bed7933b6046df3f638654e53237ce8b6e1dc3,374467236981183453838652,374467236981183453838652,0,0,0,0
0xde5e53c249e96dcdcf21bab9ec5cfe7167516870,371988684930798616618436,371988684930798616618436,0,0,0,0
0x575deeb3882bee53ccd54d2e91f042425a33593e,350900841721421554024465,350900841721421554024465,0,0,0,0
0xbf74c12d6e6a8c2bd7f36a917250e2bf8bffefc1,348434575835187994535282,348434575835187994535282,0,0,0,0
0x6b504204a85e0231b1a1b1926b9264939f29c65e,332088753752374607882342,332088753752374607882342,0,0,0,0
0xf5e0639f856698d93c9d9886011018c304d52764,315810441738525007447037,315810441738525007447037,0,0,0,0
0xa99640210d21a7318c3b85c19ce5b3d49251e04d,285719708769751208978589,285619901730028007168755,0,0,0,0
0x978c01b69dd722754d65fe39c4308f51b912a73b,285094348770970969942939,285094348770970969942939,0,0,0,0
0x8f38831af22ba36e871c15f2f1ec174446183b0c,227707344164698500069311,211142816995028455283244,18433179723502304147465,0,0,0
0x554604d5dbdca3ac382097f9a2a7e9af4bbef224,219637862842443835402551,219637862842443835402551,0,0,0,0
0xa30a04384c162f4458aa5919a0fae2db579d802a,199889585168342015702263,199889585168342015702263,0,0,0,0
0x963f971a9a10926a0bb28be1f73e1b6160fb4b59,197745676988063814526649,197745676988063814526649,0,0,0,0
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,192752559086502842829997,192752559086502842829997,0,0,0,0
0x491a6c284a60d9dfdb6c8017b5823414ff6b9ec6,192503587340999935364554,192503587340999935364554,0,0,0,0
0x411fa33f660edded5dddc57cd50ac33eb4684c6b,187777550472354349978241,187777550472354349978241,0,0,0,0
0x53390590476dc98860316e4b46bb9842af55efc4,183833017824366316006582,183733210784643114196748,0,0,0,0
0x44be25318903086ee9b6a163d8c63ac6a8a22a3f,168534912233706817605037,168534912233706817605037,0,0,0,0
0x2940f0096c23ecfde5d4331f9a8bea65b6f90858,158005027908985705533352,157905220869262503723518,0,0,0,0
0xe3c9e09e49f75d7ec947484abf74579ea5aa0e18,148233292783701112197477,148133485743977910387643,0,0,0,0
0x0c76b11a7ec51ee5cc205ca840ab808049d156ec,147332508328027622289325,147332508328027622289325,0,0,0,0
0x81d1a8feec4843d709caab4dd6338123ff54f1e1,138693820866024547232544,138693820866024547232544,0,0,0,0
0x6750adbb477d0310f395da2ad93abe4b9bfd1c87,138308274230038527585886,138308274230038527585886,0,0,0,0
0x40c049c7d7fb97372d73eaddb71997cac68f3ddd,134412532331307698252239,134412532331307698252239,0,0,0,0
0x00b32916575fcb38675309dbf122bb671fb60497,132874218131285131429277,132874218131285131429277,0,0,0,0
0x7c6ec14c8da5bf4f67c5021f4d41a1c6c14fb98f,129356086292186135236441,129356086292186135236441,0,0,0,0
0xf0b253affde4d348a63e2a5971c3978342c28461,123856567123380268614682,123856567123380268614682,0,0,0,0
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,117920573739935568823670,117920573739935568823670,0,0,0,0
0x75cf80481a444a3122ae1c6ce2ccb0b6622d8608,112321254134159041443156,112321254134159041443156,0,0,0,0
0xec8dbe01dbcbd2b986e45023dad586795da863fb,111701955680397204516504,111701955680397204516504,0,0,0,0
0xcd1883d83aed27a87cc7572eb8f9855a0bdd944e,107719898240321453359113,107719898240321453359113,0,0,0,0
0xe91f64ca1da165ca8437686b69a022156550837b,106070320033852117541689,104465398273787920671287,0,0,0,0
0xd9305fd3c64f35452ba4d76f39ec7fc8c8bd77c4,99644621062287260821229,99544814022564059011395,0,0,0,0
0x7d6a7ee46f6d5adde1a19776b441aa0df3279530,98400258991269100154946,98400258991269100154946,0,0,0,0
0x4354a28c70e33032619df646b6dd0d39d0c75916,96164375673756530245372,96164375673756530245372,0,0,0,0
0x42506e49be739699c14a1483874d0f12e9b1c62f,96068369203461556626915,96068369203461556626915,0,0,0,0
0xea8d287e23f1e005fa8bd3c9d1efae2c726db9a4,95155275668183787919392,95155275668183787919392,0,0,0,0
0x9cf59ecde926cc1b5ff1cb9b247e0fec627091b1,92390876258700113293632,92390876258700113293632,0,0,0,0
0x1fc669775a111a556b5d08b47553165d09e42aef,92275200246838372804579,92275200246838372804579,0,0,0,0
0x571e9aefff646cdfa80da4745293dab94a7ba4a2,91981725203903599951547,64117247889025959385211,27649769585253456221198,0,0,0
0x5defd7328f2c5d4e84d21daf67ea66bbe3cd6905,91471189596455295857667,91471189596455295857667,0,0,0,0
0x0c36ac8863d0352436a70addbf1be34f3ea11017,90006065901545528667934,90006065901545528667934,0,0,0,0
0xfeecdbb3a8f9161c8cbeb79133564ff92bd2ab3e,85955477125218430595320,85955477125218430595320,0,0,0,0
0x7ee300ec74f7af0304a9038381ea3dcf3aee940d,85888841055375531975850,85888841055375531975850,0,0,0,0
0xced2121058d0ac8c931e061a263b441b9de56b9b,79779077878681945722092,79679270838958743912258,0,0,0,0
0x84d5922ff253e7287b642091f5803df28a7e39aa,79606101844690104792272,79606101844690104792272,0,0,0,0
0xa4e097962c395b27399b326f16ed4d9466138aa9,79478078813334202236116,79478078813334202236116,0,0,0,0
0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,79045000939709750431153,79045000939709750431153,0,0,0,0
0xddeb3a5d35984014b732e71ac99f622fae483544,77534177487192598471725,77534177487192598471725,0,0,0,0
0xce0adbb76a8ce7224bec6b586e18743aeb03250a,77233076628037851227502,77233076628037851227502,0,0,0,0
0x69daa47f4773121d58e28d73d4afaa6a2ad7b9cd,72440377799487760520000,72440377799487760520000,0,0,0,0
0xbc154c448a2db5b164854e3e00b693a89ceb5ca1,71377304812298590003467,43512827497420949437131,27649769585253456221198,0,0,0
0x7eaac1748de6e99bcdab7f06731065edc90e6bac,71180270833275246178726,71180270833275246178726,0,0,0,0
0x0905b0aca8a0b271071da96790145386d9388fa6,68920013241495030920212,68920013241495030920212,0,0,0,0
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,68745288636300251329419,40880811321422610763083,27649769585253456221198,0,0,0
0xb0e83c2d71a991017e0116d58c5765abc57384af,66605748109702025059002,37056102946756977778745,27649769585253456221198,0,0,0
0x3eeb02dcf25be9a7ebc473221b6b9dc76abe6bf3,66438751281581839217632,66438751281581839217632,0,0,0,0
0xf5c063c58670b27e6a9fa97a20dc5bbbc493dcb3,64227037928311891369354,64227037928311891369354,0,0,0,0
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,63848834075485604728793,63848834075485604728793,0,0,0,0
0x12fdda0fdc960eeadf164c1183a8b16dab3b8034,62892764933666973325028,62892764933666973325028,0,0,0,0
0xb5aeb3871b5897cfe24393c866137974d4e2cc9f,62267921663321260936468,45703394493651216150401,18433179723502304147465,0,0,0
0x22fa8cc33a42320385cbd3690ed60a021891cb32,61577824495676102337002,61478017455952900527168,0,0,0,0
0x5309aac198c88a7eb770244887cdf051e1155a88,60554502084772085275002,60554502084772085275002,0,0,0,0
