account,amount
0xBffF21F342b33E0D990bd1Fe007bB0031507Da66,3333333333333330000000000
0xFD1b2E509EA6A2Fb487C93e89e116E37f6630B46,3333333333333330000000000
0x08F4B53Be72918348e1fa0301A3c29F905259ffb,3333333333333330000000000
0xB18e3BF33365fD2466c2E99b181E527a165c210c,666666666666667000000000
0x75A8c6047De5A6aC0a6f15438DFe32C9B97e2299,666666666666667000000000
0x4dA94e682326BD14997D1E1c62350654D8e44c5d,666666666666667000000000
0x899F7e063DFB777f3D9fa57DB64f735c2e7090cf,10000000000000000000000000
0xDf5cE70CFE1ADDBC9Fb26b5952d9d600Dfe3f628,10000000000000000000000000
0x598Dbe6738E0AcA4eAbc22feD2Ac737dbd13Fb8F,10000000000000000000000000
0x1DdD4459302EEEDa17f855055C7C78d84efa1Ffd,10000000000000000000000000
0xf72628b3fbF5B004596a68EE4d7BB37dc65FA9a3,6333333333333330000000000
0xE094a22330b1EB7d69BB6342A63c59C07c1A5B4c,3333333333333330000000000
0xC723c4387b7EC2e9e0A85f5FB746b38a5693fa12,3333333333333330000000000
0x6875344C940B65B1d906410851F37F389B36e96B,2000000000000000000000000
0x386426e280aF8A9fd650E726f7c1eF93230eE2D5,1666666666666670000000000
0xCCb4229d3a8e6a9c869089d42027db8D8d1321f0,1333333333333330000000000
0xcdA5E361B8bA46339D67207690Cd1dA1aa588568,2666666666666670000000000
0x6Fc49Ca12Ea57Ac826315b5Eb097AD41075162D8,666666666666667000000000
0xd97a2f65F89F99CE03cA8F3fD2431D053d387E8f,333333333333333000000000
0x6AD7baBfdC153ec9dDC78b49523f33FFaD4f3631,333333333333333000000000
0xBa35213305aac52E26b21465d41bc1e2BB3a2Afe,200000000000000000000000
0x9fB315cFCf8C861Ad0020b7616aFeAf77f021AC4,100000000000000000000000
0x8410373DF6E9b20765c9599c26d585B2cd0Ef628,100000000000000000000000
0x43f0c06507EF340250CB7d4A5afB8201453251ed,2666666666666670000000000
0x2eb5e5713a874786af6da95f6e4deacedb5dc246,2000000000000000000000000
0x114b8d7ab033e650003fa3fc72c5ba2d0fd18345,1666666666666670000000000
0x6724f3fbb16f542401bfc42c464ce91b6c31001e,666666666666667000000000
0x3b4512e84017EC2dbc24e97006b47318807E1d3F,666666666666667000000000
0xc5614f397051E6Db3bFAbf9813C6C9b57f232783,666666666666667000000000
0xe8C1c26b0d86928ae0Ad1e7Bb3508ADb3925cf21,333333333333333000000000
0xd7f0ddcbb0117a53e9ff2cad814b8b810a314f59,333333333333333000000000
0xe34b1ac3074121418152c7a68b4ae6cb7803d725,333333333333333000000000
0x6a4d361B7d0daDF8146DcfE6258A8699ea35eB81,166666666666667000000000
0xDd9b9a7B7814b718282967dde9489E68894bdF84,166666666666667000000000
0x5811e1f688321481127fc6712cce32ab208f3fe2,113333333333333000000000
0xcec0d1a31129af0b1088a3d8dfa6abb4bd1ecb45,66666666666666700000000
0x4a12ef9D310B4BD1ae59aA0a9775329564ED81f0,66666666666666700000000
0xe426a732552764F3301DEdF98014Ad880A74ce51,66666666666666700000000
0x8ed48a056725DC7740100Ed2e1B296e7489452d0,66666666666666700000000
0x4CB713829B031dac9eBc9e129A79319254bA3459,166666666666667000000000
0xf7De94562085847c445e5099cCB1deF04De15FDf,1000000000000000000000000
0x40F7807D6b7cCf823BE5B760828a6366aB3Df3a9,666666666666667000000000
0xa0f75491720835b36edc92d06ddc468d201e9b73,666666666666667000000000
0x019EdcB493Bd91e2b25b70f26D5d9041Fd7EF946,200000000000000000000000
0xDbBB1bD4cbDA95dd2f1477be139C3D6cb9d2B349,486666666666667000000000
0xeDC310091527044beaD0c98c9AD630cB5EFE7Bf3,3333333333333330000000000
0xb9E29984Fe50602E7A619662EBED4F90D93824C7,1333333333333330000000000
0xa489faf6e337D997B8a23E2B6f3A8880b1B61E19,1000000000000000000000000
0x950AFF052Adb56654BdeAF803E58911da76F10cD,1333333333333330000000000
0x3A184b6f604d5bb98d224367641D62d8ca8C072d,166666666666667000000000
0x52C167aF622071d1079d97AE3AbB215496eA41d0,333333333333333000000000
0x1f68B6521d5E01747BF1E4A2672a2AC35D03e864,333333333333333000000000
0x788edA2e11021f24c04FE6d4054aa8B163E6cbFe,1333333333333330000000000
0xC6d8781f7Ee8CbacA5F751D2Ea9fe99c56eBF5D9,500000000000000000000000
0x2D81713c58452c92C19b2917e1C770eEcF53Fe41,666666666666667000000000
0x62208760588E58eE93606aF74D1f5F994d5e24f2,666666666666667000000000
0x10D6d2e343281D388291A3e02f3293AaEdA67178,33333333333333300000000
