account,network,reason
0x604e4557e9020841f4e8eb98148de3d3cdea350c,mainnet,GnosisLTDVesting
0xec83f750adfe0e52a8b0dba6eeb6be5ba0bee535,mainnet,GnosisDAOVesting
0x0da0c3e52c977ed3cbc641ff02dd271c3ed55afe,mainnet,GnosisDaoSafe
0x849D52316331967b6fF1198e5E32A0eB168D039d,mainnet,GnosisDAOSafe-daughter
0x88ad09518695c6c3712ac10a214be5109a655671,mainnet,xDAIOmniBridge
0xaddb27092681351a19ceb737214cad46a30176e3,mainnet,Kraken
0xba12222222228d8ba445958a75a0704d566bf2c8,mainnet,BalancerVault
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,mainnet,Bitrex
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,mainnet,ArbitrumBridge
0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf,mainnet,PolygonBridge
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,mainnet,Poloniex
0xf56d08221b5942c428acc5de8f78489a97fc5599,mainnet,UniswapV3Pool
0xe42237f32708bd5c04d69cc77e1e36c8f911a016,mainnet,BalancerV1Pool
0xf4c0dd9b82da36c07605df83c8a416f11724d88b,mainnet,BalancerPool
0x148ce9b50be946a96e94a4f5479b771bab9b1c59,mainnet,BalancerPool
0xf49d2fda023d2cb895408f6db1665382fb96be19,mainnet,Bancor
0x05461124c86c0ad7c5d8e012e1499fd9109ffb7d,mainnet,KyberReserveGNO
0x41328fdba556c8c969418ccccb077b7b8d932aa5,mainnet,SushiSwapGNO
0x742d35cc6634c0532925a3b844bc454e4438f44e,mainnet,BitFinex2
0x6810e776880c02933d47db1b9fc05908e5386b96,mainnet,GNOToken
0x6810e776880c02933d47db1b9fc05908e5386b96,mainnet,UniswapV2Pool
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,mainnet,LAtoken
0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,mainnet,Coinex2
0xa46466ad5507be77ff5abdc27df9dfeda9bd7aee,mainnet,UniswapV3Pool
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,mainnet,BitFinex3
0x7b24f3f2c6fc51ca67c91bcdfeb07bc75249fd1d,mainnet,UniswapV3StakeGNO
0x0000000000000000000000000000000000000000,mainnet,NullAddress
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,mainnet,EtherDelta2
0x0d0707963952f2fba59dd06f2b425ace40b492fe,mainnet,Gate.io
0xe03c23519e18D64F144d2800E30E81B0065C48B5,mainnet,Mercatox
0x167a9333bf582556f35bd4d16a7e80e191aa6476,mainnet,Coinone
0xe3031c1bfaa7825813c562cbdcc69d96fcad2087,mainnet,GopaxWBTCMerchantDepositAddress
0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,mainnet,GnosisDutchAuction
0x6F400810b62df8E13fded51bE75fF5393eaa841F,mainnet,GnosisProtocolV1
0x9008d19f58aabd9ed0d60971565aa8510560ab41,mainnet,GnosisProtocolV2
0x04a66CBbA0485D7B21Af836f52b711401300FDdb,mainnet,GPv2TradingBot
0x85e9fc8273b1ee9d81f4b800071563096f689863,mainnet,OwlTokenInit
0xb9812e2fa995ec53b5b6df34d21f9304762c5497,mainnet,DutchXExchangeProxy
0x5fCA4cBdC182e40aeFBCb91AFBDE7AD8d3Dc18a8,xdai,swapr
0xD7b118271B1B7d26C9e044Fc927CA31DccB22a5a,xdai,swapr
0x70DD56a095df9E6735173A65B87e7c1A17Bc5ec2,xdai,swapr
0x0f9d54d9ee044220a3925f9b97509811924fd269,xdai,sushi
0x15f9eedeebd121fbb238a8a0cae38f4b4a07a585,xdai,sushi
0x321704900d52f44180068caa73778d5cd60695a6,xdai,honey
0x28dbd35fd79f48bfa9444d330d14683e7101d817,xdai,honey
0xac16c751f4c719a7ad54081a32ab0488b56f0ef4,xdai,honey
0x24a208cf21e043090b0dbec71f43f51f2fde7619,xdai,elk
0x53ed0c2c6bb944d9421528e1abd1e042b330696b,xdai,symmetric
0x34fa946a20e65cb1ac466275949ba382973fde2b,xdai,symmetric
0xbad5feaf324b1efaa09f44b3a87872513e809a34,xdai,pool
0xa0bec22a7db3a401b782117ae34d725475626fe9,xdai,pool
0xe9ad744f00f9c3c2458271b7b9f30cce36b74776,xdai,pool
0xdc3c9ff23305d7020ea50bb3ba334b2ff750b30d,xdai,pool
0xd77c13d58fc67da84f3b440ce42a802d905ec6a0,xdai,pool
0x969f959731a8851cd0f4ef8e8fc9376091814100,xdai,pool
0x04a66CBbA0485D7B21Af836f52b711401300FDdb,xdai,GPv2TradingBot
