account,eligible_volume,num_trades,first_trade,last_trade,allocation_tier
0x4ffad6ac852c0af0aa301376f4c5dea3a928b120,586110,274,2021-08-30,2022-01-09,4
0x22e54af87160f6dd1400ff28a3af2cb157d17931,302412,37065,2021-10-14,2022-01-09,3
0xb0f4b88d29667607e88198a12e6b19700b08abf1,274421,64,2021-08-15,2022-01-01,3
0xd2cc479be0512301d0b19c3c0a9300baa1e03758,272056,51094,2021-09-06,2022-01-09,3
0xf6e0ec9f66ea43f6da1847763f4433a8444d38f2,228069,34,2021-12-28,2022-01-09,3
0xf139d72025bcde807b2ed618a065c2550e0c7c90,177058,90,2021-11-27,2021-12-31,3
0x412e1d8c32d9cde0a293c3179f6a7c2b76251ac8,159885,44,2021-12-28,2022-01-08,3
0x89145f922bb420453bcd8a7be87da830c0941f22,150572,17776,2021-08-27,2021-11-26,3
0xf32b6e90a3ff5bee0dad681bd488cf9a023d090d,109712,27,2021-08-25,2021-12-20,3
0x30e90ccbb23704a7d893fbc20cdfec712a6b2a41,100872,10,2021-12-28,2022-01-08,3
0xbbd21e3bf53d6cc44efb4636f9addcb935b1172d,98191,29,2021-09-13,2022-01-08,2
0xa99640210d21a7318c3b85c19ce5b3d49251e04d,84071,4,2022-01-08,2022-01-09,2
0x2c6900b24221de2b4a45c8c89482fff96ffb7e55,71543,1,2021-12-12,2021-12-12,2
0xd9d345f3d029a0512440772fcbca89fda68b6676,65199,1,2021-12-31,2021-12-31,2
0x29028750034e3a238ae28985398d9707e7210820,57855,39,2021-08-02,2021-10-27,2
0xccb6e8a682694561fd4985ebb7ada780e5f2de80,51344,10,2021-12-25,2022-01-09,2
0xd1dd64cccfe82e10fb48ae40be3d6239a1b9802d,50547,6,2022-01-06,2022-01-09,2
0x9d3eb6230db8debf55bab868f2d370aa7a479b8f,44714,8,2021-12-31,2022-01-08,1
0xd97beffdf558b269257feba5df111ab718b71e24,43015,8,2021-10-05,2021-12-23,1
0xa55edee4c007c31112674350800d95614ee69814,36397,3,2022-01-05,2022-01-08,1
0x12358a21ffa17f4008949ae6fda9ca7fb8cf4ea3,36262,28,2021-12-10,2022-01-08,1
0x67cd2f5f46c607c75d68a4a04cab919fca913e99,29590,6,2022-01-07,2022-01-08,1
0xb0382613ea5ae31c00a1d875dee6a52548a37b3c,28770,22,2021-08-12,2021-10-14,1
0x9b38dc0b8ae8cd3eefe7866f833b6b8019ed97b7,25548,5,2022-01-08,2022-01-08,1
0xd78cdb879acc67b000588b027328af4626f0b0ef,25293,31,2021-11-19,2022-01-07,1
0x41e7acc7fc04b4435fbf6da98fbb4bccc4126f29,25087,29,2021-12-14,2021-12-24,1
0xc6e50c8ccf2862f25188d3830ef09e7c0342ed65,23675,13,2021-12-04,2022-01-06,1
0x92f51e77870b6090e5a8718e89720df3b4f84d61,23522,2,2021-12-26,2021-12-26,1
