account,eligible_volume,num_trades,first_trade,last_trade,allocation_tier
0x933258bddd49beeca77f6d1889633c5429af45ea,147011982,737,2021-07-15,2022-01-09,5
0x37e5df37885a6d0b43bee9ec2997b1e0037fb490,74794949,47,2021-05-13,2021-09-21,5
0x2de640a18fe3480aa802aca91f70177ada103391,57981197,48,2021-04-29,2021-11-19,5
0xb9e025a1363373e48da72f7e4f6eb7cddf2f6501,55115779,273,2021-10-13,2022-01-08,5
0x8540f80fab2afcae8d8fd6b1557b1cf943a0999b,53433527,140,2021-07-15,2022-01-08,5
0xe965484ba4250c446779d4703f1598dc2ea00d12,40849136,213,2021-06-09,2021-12-28,5
0xee1a62f0c6fa867a062e8d33bb6969db020969e5,39569212,64,2021-09-01,2022-01-08,5
0x07c2af75788814ba7e5225b2f5c951ed161cb589,39072737,120,2021-04-29,2022-01-09,5
0xd783947ce4924147f35b319bd247ee628e7fb0be,35433366,56,2021-11-28,2022-01-08,5
0x4c180462a051ab67d8237ede2c987590df2fbbe6,26798184,184,2021-08-15,2022-01-09,5
0x9dcc35ae915926f7f5e8c624254d91f755d55b71,26665075,184,2021-08-30,2021-12-03,5
0x87428db7c48aad07e2b565756b2e70064973104a,24256892,51,2021-07-06,2022-01-08,5
0xc7c022bd85529bed1b92de4ba847f3f4e8fd5cbf,24096626,49,2021-11-17,2022-01-09,5
0x8595ceeb3454d21d4aa83842c55259f46de5c13f,23702852,3,2022-01-02,2022-01-07,5
0xaf297dec752c909092a117a932a8ca4aaaff9795,23340909,88,2021-08-14,2022-01-06,5
0xbf3c106331cca10e7a31ea421543eaa3a74ebad7,20922532,58,2021-05-01,2022-01-06,5
0x6e4f950321ca13946d442a0f00db03cd731b41d7,20604145,175,2021-09-14,2022-01-08,5
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,18906699,230,2021-04-30,2022-01-09,5
0x7d2ab9ca511ebd6f03971fb417d3492aa82513f0,18343371,45,2021-11-12,2022-01-08,5
0x7879a0c239f33db9160a8036db0e082616ca8690,18314564,8,2021-12-14,2022-01-09,5
0xb71cd2a879c8d887ea8d75155ff51116178641c0,17851282,105,2021-09-14,2022-01-05,5
0x9304f5788c077371999a0aa65dca8466742def03,16686852,36,2021-11-22,2022-01-06,5
0x89df3ba0df0bc96fd77c1c684e57f016052aad81,16520047,22,2021-08-17,2022-01-08,5
0xf5b4635f3858a2bc80a17bd4450e05a35ad99a72,15619029,82,2021-10-20,2022-01-09,5
0xa2b45156b24509d4d336a9e63607f96462d7d4c3,15076549,134,2021-10-27,2021-12-29,5
0x2425f7f9e92e8b8709162f244146f4915aff3d2f,15063593,48,2021-08-17,2021-12-30,5
0xe3c09691dacb8086288daa66104e3b4682d76bb5,14879354,64,2021-05-01,2021-11-28,5
0xbcafdd642118e5536024675e776d32413728dd08,14625606,314,2021-06-04,2021-12-31,5
0x1e2ce0c1d8e9f7614dea6c3fa78e91d34247f380,14009855,149,2021-07-22,2022-01-06,5
0xd1e9bb87a67a63221c7a4eb9e4e1ab66422fcdde,12722062,89,2021-08-26,2021-12-23,5
0x2326d4fb2737666dda96bd6314e3d4418246cfe8,12630597,15,2021-10-30,2022-01-06,5
0x461e76a4fe9f27605d4097a646837c32f1ccc31c,12293607,120,2021-10-08,2022-01-07,5
0x4971dd016127f390a3ef6b956ff944d0e2e1e462,12271096,12,2021-11-30,2022-01-04,5
0xbd67ea50825eae3099f046ce4347b2b2c1c45508,11552148,34,2021-08-17,2022-01-07,5
0x94712699c06ec46b09f31b1aecd078049dad3fe3,11377603,47,2021-10-25,2022-01-07,5
0xd5d5a7cb1807364cde0bad51d0a7d758943ab114,11152351,36,2021-09-24,2021-12-28,5
0x3efd3391a0601eaa093647f911c653d77c11e3fd,11133532,108,2021-09-24,2021-10-22,5
0x7d26d3bd8e5eee24697ecdf4f7b41c2ca2f92f30,11041419,199,2021-05-05,2022-01-08,5
0x0ca170dc25f1ae2dd4bac85d375bb7bbd46886eb,11022298,16,2021-10-06,2021-12-08,5
0x3b5e393d467a8ffebc8d49b7e6c69188cee55582,10958357,51,2021-10-18,2021-12-22,5
0xe1b048f4af9cf771829a5bad6e77d636be2ca3f4,10937810,30,2021-05-10,2021-11-04,5
0x76fc54b4ec08917fc4a7fc6a72d0baaff9861ad7,10829705,104,2021-06-03,2022-01-05,5
0xc6093fd9cc143f9f058938868b2df2daf9a91d28,10639800,1487,2021-09-08,2022-01-09,5
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,10503970,78,2021-05-05,2021-12-15,5
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,10484690,14,2021-11-20,2022-01-09,5
0x9b19a7f55ed29677197ea62eada32fc92118f8e0,10473953,14,2021-10-08,2021-12-09,5
0x5ad3f9e83055764c4251e6bc7922b6e04805bfd7,10316099,18,2021-09-26,2021-12-04,5
0xaf218b106e9e9dccdbb5fab32bd23b529f29137b,10281515,4,2021-12-07,2021-12-07,5
0x0a53e28f2f7b27971e18a6305c2c74a449badd2e,10274567,51,2021-08-16,2022-01-07,5
0x042b32ac6b453485e357938bdc38e0340d4b9276,10010203,120,2021-12-20,2021-12-24,5
0xe9c62867856baf9535283c162d36383bb90a2162,9971926,109,2021-10-12,2021-12-18,5
0xcfbf780eab68d7685b4d75f799e861051507947b,9924180,73,2021-11-09,2022-01-05,5
0xb0a1be32df8c8248a54389af5d5528c38d92d5be,9912878,164,2021-08-13,2022-01-08,5
0xa44dc707eae282144205e0ee1c7e356a14ca78a0,9578993,26,2021-10-20,2021-11-06,5
0x892497a970e07d0cee8e2becb0d6e9ef40197f33,9102151,44,2021-12-02,2022-01-06,5
0x382bc51a164aba74afdd0024f2ad6f81ff261553,9037857,27,2021-08-16,2021-12-30,5
0xcd1fa77cb240e0d3baaeaf290be650e74e357d80,8960614,27,2022-01-02,2022-01-04,5
0xab45160c38e9781347fad728b7331e2601812198,8931528,116,2021-08-06,2021-12-04,5
0x0e457324f0c6125b20392341cdeb7bf9bcb02322,8376648,210,2021-05-05,2022-01-09,5
0x1617ad25e010d693404cac8ff81f8180f5ae3c83,8275915,371,2021-07-11,2021-12-15,5
0x83d82244da1c86958b551c9f51812e20f1c14b26,8273522,3,2021-12-23,2021-12-23,5
0x256bb5ad3dbdf61ae08d7cbc0b9223ccb1c60aae,8230310,689,2021-10-01,2022-01-08,5
0xeb4e17f4b6a9490ee3579c0f1edf144868f2753c,7996164,111,2021-06-18,2022-01-07,5
0x66ef8053e69538075128fa1f59a576d278d916e5,7860463,14,2021-09-25,2021-12-04,5
0x4d928359e8556197f161f4927a928dfde9c3d1a8,7669485,183,2021-05-02,2022-01-09,5
0x92b1a521883b2e267982e1cbb65a78f1ee788283,7417389,48,2021-08-23,2022-01-03,5
0xdafbed6fc9a5783983994aa7748ff79729caf1e9,7401710,106,2021-08-18,2021-11-28,5
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,7221637,19,2021-12-12,2022-01-09,5
0x86f032cd94d4a681bf4b8328b0d958fd2ea77a4d,7059434,88,2021-08-14,2022-01-07,5
0xaf233027bbcd947c4ff0fd14e6200e31f06f0864,7043830,96,2021-08-16,2022-01-02,5
0x205a2385094912bb7261cba2131664d195f37155,7026242,13,2021-09-08,2021-11-04,5
0xe30ed74c6633a1b0d34a71c50889f9f0fdb7d68a,7018144,4,2021-09-22,2021-12-24,5
0xfe13988736d95d052c2e45e5b4e1ef2e2750b7f4,6915714,22,2021-05-07,2021-12-18,5
0x320e732862e03b164abbb69e86f560b1c0c70122,6853594,267,2021-08-28,2021-12-28,5
0xf7411a3f727b36f56ff3a871163c21e56d672656,6808250,5,2022-01-06,2022-01-09,5
0xec0297f0a72286c92e826e3b55bd61ad31986dfe,6717926,46,2021-08-13,2022-01-07,5
